mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,polymer_start_mass_g,polymer_end_mass_pct,delta_polymer_mass_pct
A1,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,2.92,86.55812619807782,-13.441873801922185
A2,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.38,85.98709109297509,-14.012908907024908
A3,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.4000000000000004,86.85736173285594,-13.142638267144063
A4,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,2.859999999999999,88.63235700646327,-11.367642993536734
A5,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.390000000000001,87.15968711293262,-12.840312887067384
A6,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.1900000000000004,86.9233551522451,-13.076644847754906
B1,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.1900000000000004,89.09176503080567,-10.908234969194323
B2,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.1,86.23431222073656,-13.765687779263445
B3,1.0,0.5747,0.2728,0.1608,0.2139,0.7753,3.47,87.35100700122504,-12.648992998774958
B4,1.0,1.2421,0.103,0.5577,0.4567,0.9293,2.8600000000000003,88.24035348733558,-11.759646512664418
B5,1.0,0.1285,1.0094,0.035,0.3154,0.2326,3.54,87.42077314094931,-12.579226859050692
B6,1.0,0.5498,0.6752,0.2878,0.6473,0.5901,3.15,87.73793176340854,-12.26206823659146
C1,1.0,0.539,0.5826,0.31,0.3198,0.5586,3.35,86.2452597399835,-13.754740260016504
C2,1.0,0.8603,0.5223,0.6295,0.2918,0.5957,3.28,87.55649903234556,-12.443500967654444
C3,1.0,0.4064,0.772,0.2621,0.4165,0.455,3.3,87.06947159243217,-12.930528407567834
C4,1.0,0.1021,1.0871,0.4447,0.1913,0.0875,3.44,86.27612412047526,-13.72387587952474
C5,1.0,0.0009,1.2103,0.0438,0.2122,0.0016,3.5,87.46560710925282,-12.534392890747185
C6,1.0,0.2882,0.844,0.746,0.0268,0.178,3.68,86.89421837874897,-13.105781621251026
D1,1.0,0.0892,1.2236,0.1411,0.399,0.1254,3.55,88.44771994843057,-11.552280051569426
